Player,Pos,NBAID
Carl Landry,PF,201171
Carl Thomas,SG,1063
Carldell Johnson,PG,201291
Carlik Jones,PG,-1
Carlos Arroyo,PG,2306
Carlos Boozer,"C, PF",2430
Carlos Delfino,"SF, SG",2568
Carlos Rogers,"C, PF",435
Carmelo Anthony,"PF, SF",2546
Caron Butler,"SF, SF-SG, SG",2406
Carrick Felix,SG,203467
Carsen Edwards,SG,1629035
Cartier Martin,SF,201858
Casey Jacobsen,"SF, SG, SG-SF",2418
Casey Shaw,C,1745
Casper Ware,PG,203810
Cassius Stanley,SG,-1
Cassius Winston,PG,-1
Cat Barber,PG,-1
Cedi Osman,SF,1626224
Cedric Bozeman,SG,200841
Cedric Ceballos,SF,76
Cedric Henderson,SF,1538
Cedric Jackson,PG,202132
Cedric Simmons,PF,200759
Cezary Trybański,C,2456
Chandler Hutchison,SF,1628990
Chandler Parsons,"PF, SF",202718
Channing Frye,"C, PF, PF-C",101112
Charles Bassey,PF,-1
Charles Cooke,SG,1628429
Charles Jenkins,"PG, SG, SG-PG",202724
Charles Jones,"PF, PG, SG",77178
Charles O'Bannon,SG,1525
Charles Oakley,"C, PF",891
Charles Shackleford,C,1593
Charles Smith,SG,1520
Charlie Bell,SG,2294
Charlie Brown Jr.,SG,-1
Charlie Villanueva,PF,101111
Charlie Ward,PG,369
Chase Budinger,SF,201978
Chasson Randle,PG,1626184
Chauncey Billups,"PG, SG",1497
Chaundee Brown Jr.,"SF, SG, SG-SF",-1
Cheick Diallo,"C, PF",1627767
Cheikh Samb,C,200798
Cherokee Parks,"C, PF",685
Chimezie Metu,"C, PF",1629002
Chinanu Onuaku,C,1627778
Chris Andersen,"C, PF",2365
Chris Anstey,C,1512
Chris Babb,SG,203569
Chris Bosh*,"C, PF",2547
Chris Boucher,"C, PF",1628449
Chris Carr,"SF, SF-SG, SG",713
Chris Childs,PG,164
Chris Chiozza,PG,1629185
Chris Clemons,SG,1629598
Chris Copeland,"PF, SF",203142
Chris Crawford,PF,1544
Chris Douglas-Roberts,"SF, SG",201604
Chris Duarte,SG,-1
Chris Dudley,C,201
Chris Duhon,PG,2768
Chris Garner,PG,1612
Chris Gatling,"C, PF",423
Chris Herren,PG,1914
Chris Hunter,C,201805
Chris Jefferies,"SF, SF-SG, SG",2423
Chris Johnson,"C, SF",203187
Chris Kaman,C,2549
Chris King,SF,12
Chris McCray,SG,200840
Chris McCullough,PF,1626191
Chris Mihm,"C, C-PF, PF",2036
Chris Mills,"PF, SF",168
Chris Morris,SF,356
Chris Mullin*,"SF, SG",904
Chris Owens,SF,2442
Chris Paul,PG,101108
Chris Porter,SF,2084
Chris Quinn,"PG, SG",200809
Chris Richard,"C, PF",201181
Chris Robinson,SG,997
Chris Silva,PF,1629735
Chris Singleton,"PF, SF",202698
Chris Smith,PG,1814
Chris Taft,C,101147
Chris Webber*,"C, PF",185
Chris Whitney,PG,43
Chris Wilcox,"C, C-PF, PF",2404
Chris Wright,"SF, SG",203203
Christian Eyenga,SF,201963
Christian Laettner,"C, C-PF, PF",363
Christian Wood,"C, PF",1626174
Chuck Hayes,"C, PF",101236
Chuck Person,"PF, SF",456
Chucky Atkins,"PG, PG-SG",1088
Chucky Brown,"PF, SF",359
Chuma Okeke,PF,1629643
Clarence Weatherspoon,"PF, SF",-1
Cleanthony Early,SF,203921
Cliff Alexander,PF,1626146
Clifford Robinson,"C, C-PF, PF, SF",361
Clifford Rozier,C,32
Clint Capela,C,203991
Clyde Drexler*,SG,17
Coby Karl,"SF, SF-SG, SG",201207
Coby White,PG,1629632
Cody Martin,SF,1628998
Cody Zeller,C,203469
Cole Aldrich,C,202332
Cole Anthony,PG,-1
Collin Sexton,"PG, SG",1629012
Corey Beck,PG,1133
Corey Benjamin,SG,1736
Corey Brewer,"PF, SF, SF-SG, SG",201147
Corey Kispert,SF,-1
Corey Maggette,"PF, SF, SG",1894
Corie Blount,"C, PF, PF-C",916
Corliss Williamson,"PF, SF",722
Corsley Edwards,C,2451
Cory Alexander,"PG, SG",724
Cory Carr,SG,1757
Cory Higgins,"PG, SG",202809
Cory Jefferson,PF,203928
Cory Joseph,"PG, SG",202709
Coty Clarke,SF,1626262
Courtney Alexander,"PG, SG",2042
Courtney Fortson,PG,202622
Courtney Lee,SG,201584
Courtney Sims,C,201235
Craig Brackins,PF,202342
Craig Smith,PF,200783
Craig Sword,SG,-1
Cristiano Felício,C,1626245
Curtis Borchardt,C,2414
Cuttino Mobley,"PG, SG",1749
D'Angelo Russell,PG,1626156
D.J. Augustin,PG,201571
D.J. Kennedy,SF,202810
D.J. Mbenga,C,2788
D.J. Stephens,SG,203474
D.J. Strawberry,SG,201199
D.J. White,"C, C-PF, PF",201591
D.J. Wilson,PF,1628391
DaJuan Summers,"PF, SF",201969
DaQuan Jeffries,SG,1629610
Daequan Cook,"SF, SG",201161
Dahntay Jones,"SF, SG",2563
Dairis Bertāns,SG,1629541
Daishen Nix,SG,-1
Dajuan Wagner,SG,2402
Dakari Johnson,C,1626177
Dakota Mathias,SG,1629751
Dalano Banton,PG,-1
Dale Davis,"C, PF",905
Dale Ellis,"SF, SG",107
Damian Jones,C,1627745
Damian Lillard,PG,203081
Damien Inglis,SF,203996
Damien Wilkins,"SF, SG",2863
Damion James,SF,202345
Damion Lee,SG,1627814
Damir Markota,PF,200806
Damjan Rudež,SF,204014
Damon Jones,"PG, SG",1800
Damon Stoudamire,PG,757
Damone Brown,"PF, SF",2245
Damyean Dotson,SG,1628422
Dan Dickau,PG,2424
Dan Gadzuric,"C, C-PF, PF",2429
Dan Langhi,SF,2061
Dan Majerle,SG,105
Dan McClintock,C,2082
Dana Barros,PG,344
Daniel Ewing,"PG, SG",101137
Daniel Gafford,"C, PF, PF-C",1629655
Daniel Gibson,"PG, SG",200789
Daniel Hamilton,SG,1627772
Daniel Ochefu,C,1627849
Daniel Orton,"C, PF",202350
Daniel Oturu,C,-1
Daniel Santiago,C,2091
Daniel Theis,C,1628464
Danilo Gallinari,"PF, PF-SF, SF, SG",201568
Danny Ferry,"PF, SF",198
Danny Fortson,"C, PF",1504
Danny Granger,SF,101122
Danny Green,"SF, SG",201980
Danny Manning,PF,330
Danny Schayes,C,-1
Dante Cunningham,"PF, SF",201967
Dante Exum,"PG, SG",203957
Danuel House Jr.,"SF, SG",1627863
Darington Hobson,SG,202359
Dario Šarić,"C, PF",203967
Darius Bazley,PF,1629647
Darius Garland,"PG, SG",1629636
Darius Johnson-Odom,SG,203130
Darius Miles,SF,2032
Darius Miller,SF,203121
Darius Morris,PG,202721
Darius Songaila,"C, PF",2443
Darius Washington,SG,200827
Darko Miličić,"C, PF",2545
Darnell Jackson,PF,201616
Darrell Armstrong,PG,353
Darrell Arthur,"PF, SF",201589
Darren Collison,PG,201954
Darrick Martin,PG,239
Darrun Hilliard,SG,1626199
Darryl Watkins,C,201208
Darvin Ham,"SF, SG",1032
Daryl Macon,"PG, SG",1629133
David Andersen,"C, PF",2431
David Benoit,SF,128
David Duke Jr.,PG,-1
David Harrison,C,2758
David Johnson,SG,77139
David Lee,"C, PF, SF",101135
David Noel,PF,200786
David Nwaba,"SF, SG",1628021
David Robinson*,C,764
David Stockton,PG,204065
David Vanterpool,PG,2128
David Vaughn,PF,710
David Wear,PF,204033
David Wesley,"PG, SG",133
David West,"C, PF, SF",2561
David Wingate,SG,766
Davion Mitchell,PG,-1
Davon Reed,SG,1628432
Day'Ron Sharpe,PF,-1
De'Aaron Fox,PG,1628368
De'Andre Hunter,SF,1629631
De'Anthony Melton,"PG, SG",1629001
DeAndre Jordan,C,201599
DeAndre Liggins,"SF, SG",202732
DeAndre' Bembry,"SF, SG",1627761
DeJon Jarreau,SG,-1
DeJuan Blair,"C, PF",201971
DeJuan Wheat,PG,1545
DeMar DeRozan,"PF, SF, SG",201942
DeMarco Johnson,PF,1746
DeMarcus Cousins,C,202326
DeMarcus Nelson,PG,201634
DeMarre Carroll,"C, PF, SF, SF-C, SF-PF",201960
DeQuan Jones,SF,203199
DeSagana Diop,"C, PF",2205
DeShawn Stevenson,"SF, SG, SG-SF",2052
DeVaughn Akoon-Purcell,SG,1629152
Dean Garrett,C,1051
Dean Oliver,PG,2352
Dean Wade,PF,1629731
Deandre Ayton,C,1629028
Dedric Willoughby,PG,2000
Dee Brown,"PG, SG",200793
Deividas Sirvydis,SG,1629686
Dejounte Murray,PG,1627749
Dell Curry,SG,209
Delon Wright,"PG, SG, SG-PG",1626153
Delonte West,"PG, SG",2753
Demetris Nichols,SF,201193
Demetrius Jackson,PG,1627743
Deng Adel,SF,1629061
Deng Gai,C,101184
Dennis Horner,PF,202862
Dennis Rodman*,PF,23
Dennis Schröder,"PG, SG, SG-PG",203471
Dennis Scott,SF,192
Dennis Smith Jr.,PG,1628372
Denzel Valentine,"SF, SG",1627756
