Player,Pos,NBAID
Nick Collison,"C, PF",2555
Nick Fazekas,PF,201174
Nick Johnson,SG,203910
Nick Richards,"C, PF",-1
Nick Van Exel,"PG, PG-SG, SG",89
Nick Young,SG,201156
Nickeil Alexander-Walker,SG,1629638
Nico Mannion,PG,-1
Nicolas Batum,"PF, SF, SG",201587
Nicolás Brussino,"SF, SG",1627852
Nicolás Laprovíttola,PG,1627879
Nicolò Melli,"C, PF",6006
Nigel Hayes,SF,1628502
Nigel Williams-Goss,PG,1628430
Nik Stauskas,SG,203917
Nikola Jokić,C,203999
Nikola Mirotić,PF,202703
Nikola Peković,C,201593
Nikola Vučević,C,202696
Nikoloz Tskitishvili,"PF, SF, SF-PF",2401
Noah Vonleh,"C, PF",203943
Noel Felix,SF,101230
Nolan Smith,PG,202701
Norm Richardson,SG,-1
Norman Powell,"SF, SF-SG, SG, SG-SF",1626181
Norris Cole,PG,202708
Norvel Pelle,C,203658
O.J. Mayo,SG,201564
OG Anunoby,SF,1628384
Obi Toppin,PF,-1
Obinna Ekezie,"C, PF",1918
Ognjen Kuzmić,C,203136
Okaro White,PF,1627855
Olden Polynice,C,178
Oleksiy Pecherov,C,200762
Oliver Lafayette,SG,201802
Oliver Miller,C,932
Olivier Sarr,C,-1
Olumide Oyedeji,C,2071
Omar Cook,PG,2241
Omari Johnson,PF,204179
Omari Spellman,"C, PF",1629016
Omer Yurtseven,C,-1
Omri Casspi,"PF, SF",201956
Onyeka Okongwu,C,-1
Orien Greene,"PG, SG",101158
Orlando Johnson,SG,203111
Oshae Brissett,SF,1629052
Othella Harrington,"C, PF",970
Othello Hunter,"PF, SF",201629
Othyus Jeffers,SG,201785
Otis Thorpe,PF,901
Otto Porter Jr.,"PF, SF, SF-PF",203490
P.J. Brown,"C, PF",136
P.J. Hairston,"SF, SG",203798
P.J. Tucker,"PF, SF, SG",200782
P.J. Washington,PF,1629023
PJ Dozier,"PG, SG",1628408
Pablo Prigioni,PG,203143
Pape Sow,C,2776
Pape Sy,SF,202377
Paris Bass,SF,-1
Pascal Siakam,PF,1627783
Pat Burke,C,2469
Pat Connaughton,SG,1626192
Pat Garrity,"PF, SF",1727
Patricio Garino,SG,1627868
Patrick Beverley,"PG, SG",201976
Patrick Christopher,SG,203565
Patrick Ewing,SF,201607
Patrick Ewing*,C,201607
Patrick McCaw,"SF, SG",1627775
Patrick O'Bryant,C,200753
Patrick Patterson,PF,202335
Patrick Williams,PF,-1
Patty Mills,PG,201988
Pau Gasol,"C, PF",2200
Paul Davis,"C, PF",200781
Paul George,"SF, SG",202331
Paul Grant,C,1514
Paul McPherson,PG,2101
Paul Millsap,PF,200794
Paul Pierce*,"SF, SG",1718
Paul Reed,"C, PF",-1
Paul Shirley,PF,2321
Paul Watson,SF,-1
Paul Zipser,SF,1627835
Pavel Podkolzin,C,2750
Payton Pritchard,SG,-1
Peja Stojaković,SF,978
Pepe Sánchez,PG,2143
Perry Jones,"PF, SF",-1
Pervis Ellison,"C, PF",442
Pete Chilcutt,PF,432
Pete Myers,SG,939
Peter Aluma,C,1824
Peter John Ramos,C,2762
Petr Cornelie,PF,-1
Peyton Siva,SG,203491
Phil Pressey,PG,203515
Pierre Jackson,PG,203510
Pooh Richardson,PG,71
Popeye Jones,PF,461
Pops Mensah-Bonsu,PF,200822
Precious Achiuwa,"C, PF",-1
Predrag Drobnjak,C,1542
Predrag Savović,SG,2453
Priest Lauderdale,C,968
Primož Brezec,C,2056
Quentin Grimes,SG,-1
Quentin Richardson,"SF, SG",2047
Quincy Acy,"PF, SF",203112
Quincy Douby,PG,200763
Quincy Lewis,"SF, SG",1900
Quincy Miller,PF,203113
Quincy Pondexter,"SF, SF-SG, SG",202347
Quinn Cook,PG,1626188
Quinndary Weatherspoon,SG,1629683
Quinton Ross,"SF, SF-SG, SG",2624
Qyntel Woods,"PF, SF",2417
R.J. Hampton,"PG, SG, SG-PG",-1
R.J. Hunter,SG,1626154
RJ Barrett,"SF, SG",1629628
RJ Nembhard Jr.,SG,-1
Raef LaFrentz,"C, PF",1711
Rafael Araújo,C,2737
Rafer Alston,PG,1747
Raja Bell,SG,1952
Rajon Rondo,PG,200765
Rakeem Christmas,PF,1626176
Ramon Sessions,"PG, SG",201196
Randell Jackson,PF,1872
Randolph Morris,"C, PF",201043
Randy Brown,PG,753
Randy Foye,"PG, SG",200751
Randy Holcomb,SF,2450
Randy Livingston,PG,988
Rashad McCants,SG,101119
Rashad Vaughn,SG,1626173
Rashard Lewis,"PF, SF, SF-PF",1740
Rasheed Wallace,"C, PF",739
Rasho Nesterović,C,1725
Rasual Butler,"SF, SG",2446
Ratko Varda,C,2237
Raul Neto,PG,203526
Rawle Alkins,SG,1628959
Rawle Marshall,"SF, SG",101185
Ray Allen*,SG,951
Ray McCallum,PG,203492
Ray Spalding,"C, PF",1629034
Rayjon Tucker,"PG, SG",-1
Raymond Felton,"PG, PG-SG, SG",101109
Raül López,PG,2221
Reece Gaines,PG,2558
Reggie Bullock,"SF, SG",203493
Reggie Evans,PF,2501
Reggie Geary,PG,1002
Reggie Hanson,SF,1682
Reggie Hearn,SG,203687
Reggie Jackson,"PG, SG, SG-PG",202704
Reggie Jordan,"PG, SG",674
Reggie Miller*,SG,397
Reggie Perry,PF,-1
Reggie Slater,PF,1073
Reggie Williams,SF,199
Renaldo Balkman,"PF, SF",200764
Renaldo Major,PF,200970
Rex Chapman,SG,364
Rex Walters,"PG, SG",777
Richard Hamilton,"SF, SG",1888
Richard Jefferson,SF,2210
Richaun Holmes,"C, PF",1626158
Richie Frahm,"SF, SG",2499
Rick Brunson,PG,1594
Rick Fox,SF,296
Rick Hughes,PF,1965
Rick Mahorn,"C, PF",328
Ricky Davis,"SF, SF-SG, SG, SG-SF",1729
Ricky Ledo,SG,203495
Ricky Pierce,SG,894
Ricky Rubio,PG,201937
Rik Smits,C,22
Rob Edwards,SG,-1
Rob Kurz,PF,201633
Robbie Hummel,SF,203133
Robert Archibald,"C, C-PF, PF",2425
Robert Covington,"C, PF, PF-C, PF-SF, SF",203496
Robert Franks,PF,1629606
Robert Hite,SG,200823
Robert Horry,PF,109
Robert Pack,PG,123
Robert Sacre,C,203135
Robert Swift,C,2741
Robert Traylor,"C, PF",1714
Robert Whaley,C,101156
Robert Williams,C,-1
Robert Woodard II,SF,-1
Robin Lopez,C,201577
Rod Strickland,PG,393
Rodions Kurucs,"PF, SF, SF-PF",1629066
Rodney Buford,"SF, SG",1934
Rodney Carney,"SF, SG",200760
Rodney Hood,"SF, SF-SG, SG",203918
Rodney McGruder,SG,203585
Rodney Purvis,SG,1628681
Rodney Rogers,"PF, SF, SF-PF",915
Rodney Stuckey,"PG, SG",201155
Rodney White,"SF, SG",2206
Rodrick Rhodes,"SF, SG, SG-SF",1518
Rodrigue Beaubois,PG,201958
Roger Mason,"PG, SF, SG",-1
Roger Powell,SF,101232
Roko Ukić,PG,101146
Romeo Langford,SG,1629641
Ron Baker,SG,1627758
Ron Harper,"PG, SG",166
Ron Mercer,"SF, SG",1500
Ronald Dupree,SF,2648
Ronald Murray,"PG, SG",-1
Rondae Hollis-Jefferson,"PF, SF",1626178
Ronnie Brewer,"SF, SG",200758
Ronnie Price,"PG, SG",101179
Ronny Turiaf,C,101142
Rony Seikaly,C,938
Roshown McLeod,SF,1728
Roy Hibbert,C,201579
Roy Rogers,PF,964
Royal Ivey,"PG, SG",2767
Royce O'Neale,SF,1626220
Royce White,PF,203091
Ruben Boumtje-Boumtje,C,2257
Ruben Patterson,"SF, SF-SG, SG",1739
Rubén Garcés,PF,2092
Rubén Wolkowyski,PF,2106
Rudy Fernández,SG,201164
Rudy Gay,"PF, SF",200752
Rudy Gobert,C,203497
Rui Hachimura,PF,1629060
Russ Smith,PG,203893
Russell Westbrook,PG,201566
Rusty LaRue,PG,1601
Ryan Anderson,"C, PF",201583
Ryan Arcidiacono,PG,1627853
Ryan Bowen,"PF, SF, SG",1763
Ryan Broekhoff,"SF, SG",1629151
Ryan Gomes,"PF, SF",101155
Ryan Hollins,"C, PF",200797
Ryan Humphrey,"PF, SF",2415
Ryan Kelly,PF,203527
Ryan Reid,PF,202385
Ryan Robertson,SG,1926
Ryan Stack,PF,1756
Saben Lee,PG,-1
Saddiq Bey,SF,-1
Salah Mejri,C,1626257
Salim Stoudamire,"PG, SG",101136
Sam Cassell,PG,208
Sam Dekker,PF,1626155
Sam Hauser,SF,-1
Sam Jacobson,PG,1734
Sam Mack,SF,694
Sam Merrill,SG,-1
Sam Mitchell,SF,417
Sam Perkins,PF,64
Sam Young,"SF, SG",201970
Samaki Walker,"C, PF",955
Samardo Samuels,"C, PF",202396
Samuel Dalembert,C,2223
Sandro Mamukelashvili,PF,-1
Santi Aldama,PF,-1
Sasha Kaun,C,201619
Sasha Pavlović,"SF, SG, SG-SF",2562
Sasha Vujačić,"PG, SG",2756
Scot Pollard,C,1513
Scott Brooks,PG,418
Scott Burrell,SF,197
Scott Machado,PG,203159
Scott Padgett,PF,1909
Scott Williams,"C, PF",281
Scottie Barnes,PF,-1
Scottie Lewis,SG,-1
Scottie Pippen*,SF,937
Scotty Hopson,SG,203816
Sean Colson,PG,2173
Sean Elliott,SF,251
Sean Higgins,SF,925
Sean Kilpatrick,SG,203930
Sean Lampley,SF,2253
Sean Marks,"C, PF",1752
Sean May,"C, PF",101118
Sean McDermott,SF,-1
Sean Rooks,C,399
Sean Singletary,PG,201606
Sean Williams,"C, PF",201157
Sebastian Telfair,PG,2742
Sekou Doumbouya,PF,1629635
Semaj Christon,PG,203902
Semi Ojeleye,PF,1628400
Semih Erden,C,201623
Serge Ibaka,"C, C-PF, PF",201586
Sergei Monia,SF,2752
Sergey Karasev,"SF, SG",203508
Sergio Rodríguez,PG,200771
Seth Curry,"PG, SG",203552
Shabazz Muhammad,"SF, SF-SG, SG",203498
Shabazz Napier,PG,203894
Shai Gilgeous-Alexander,"PG, SG",1628983
Shake Milton,"PG, SG",1629003
Shammond Williams,"PG, SG, SG-PG",1742
Shamorie Ponds,PG,1629044
Shandon Anderson,"SF, SF-SG, SG",1000
Shane Battier,"SF, SG",2203
Shane Edwards,SF,202197
Shane Heal,PG,1049
Shane Larkin,PG,203499
Shannon Brown,SG,200769
Shaq Buchanan,PG,-1
Shaquille Harrison,"PG, SG",1627885
Shaquille O'Neal*,C,406
Shareef Abdur-Rahim,"C, PF, SF",949
Sharife Cooper,PG,-1
Sharone Wright,C,412
Sharrod Ford,PF,101213
Shaun Livingston,"PG, SG",2733
Shavlik Randolph,PF,101183
Shawn Bradley,C,762
Shawn Kemp,"C, PF",431
Shawn Long,C,1627848
Shawn Marion,"PF, SF",1890
Shawn Respert,SG,704
Shawne Williams,"PF, SF, SG",200761
Shawnelle Scott,C,1035
Shayne Whittington,PF,203963
Shea Seals,SG,1578
Shelden Williams,"C, PF",200749
Sheldon Mac,SG,1627815
Shelvin Mack,"PG, PG-SG, SG",202714
Sherman Douglas,PG,428
Sherron Collins,PG,202395
Sim Bhullar,C,204021
Sindarius Thornwell,"SF, SG",1628414
Skal Labissière,"C, PF",1627746
Skylar Mays,SG,-1
Slavko Vraneš,C,2582
Smush Parker,PG,2470
Solomon Alabi,C,202374
Solomon Hill,"PF, SF",203524
Solomon Jones,"C, C-PF, PF",200780
Sonny Weems,"SF, SG, SG-SF",201603
Soumaila Samake,C,2066
Speedy Claxton,PG,2049
Spencer Dinwiddie,"PG, SG",203915
Spencer Hawes,"C, PF",201150
Spud Webb,PG,892
Stacey Augmon,"SF, SG",278
Stanislav Medvedenko,"C, PF",-1
Stanley Johnson,"PF, SF",1626169
Stanley Roberts,C,914
Stanton Kidd,SG,1629742
Stephen Curry,PG,201939
Stephen Graham,"SF, SG",101211
Stephen Howard,SF,1128
Stephen Jackson,"PF, SF, SF-SG, SG, SG-PF",1536
Stephen Zimmerman,C,1627757
Stephon Marbury,PG,950
Sterling Brown,"SF, SG",1628425
Steve Blake,PG,2581
Steve Francis,"PG, PG-SG, SG",1883
Steve Goodrich,"PF, SF",1864
Steve Henson,PG,1667
Steve Kerr,PG,70
Steve Nash*,PG,959
Steve Novak,"PF, SF, SF-PF",200779
Steve Smith,SG,-1
Steven Adams,C,203500
Steven Hill,PF,201631
Steven Hunter,"C, PF",2212
Steven Smith,PF,120
Stojko Vranković,C,1037
Stromile Swift,"C, PF",2031
Stéphane Lasme,"PF, PF-SF, SF",201186
Sun Yue,SG,-1
Sundiata Gaines,"PG, SG",202178
Svi Mykhailiuk,"SF, SF-SG, SG",1629004
T.J. Ford,PG,2551
T.J. Leaf,PF,1628388
T.J. McConnell,PG,204456
T.J. Warren,SF,203933
Tacko Fall,C,1629605
Tahjere McCall,SG,1628769
Taj Gibson,"C, PF",201959
Talen Horton-Tucker,SG,1629659
Tamar Slay,SG,2447
Tang Hamilton,SF,2347
Tarence Kinsey,SG,200814
Tarik Black,C,204028
Tariq Abdul-Wahad,SG,1505
Tariq Owens,PF,1629745
Taurean Green,"PG, SG, SG-PG",201192
Taurean Prince,"PF, SF",1627752
Taylor Griffin,SF,201981
Tayshaun Prince,SF,2419
Terance Mann,"SF, SG",1629611
Terence Davis,SG,1629056
Terence Morris,SF,2242
Terrance Ferguson,"SF, SG",1628390
Terrance Roberson,SF,2121
Terrel Harris,SG,202227
Terrell Brandon,PG,210
Terrence Jones,PF,203093
Terrence Ross,"SF, SG",203082
Terrence Williams,"SF, SG",201944
Terry Cummings,PF,187
Terry Davis,"C, PF",426
Terry Dehere,"PG, SG, SG-PG",143
Terry Mills,PF,371
Terry Porter,PG,345
Terry Rozier,"PG, SG",1626179
Terry Taylor,SG,-1
Thabo Sefolosha,"PF, SF, SF-SG, SG",200757
Thaddeus Young,PF,201152
Thanasis Antetokounmpo,SF,203648
Theo Pinson,"SF, SG",1629033
Theo Ratliff,"C, C-PF, PF",689
Theron Smith,SF,2604
Thomas Bryant,C,1628418
Thomas Gardner,SG,201242
Thomas Hamilton,C,676
Thomas Robinson,PF,203080
Thomas Welsh,C,1629118
Thon Maker,"C, C-PF, PF",1627748
Thurl Bailey,PF,1847
Théo Maledon,PG,-1
Tiago Splitter,"C, PF",201168
Tibor Pleiß,C,-1
Tierre Brown,"PG, SG",2357
Tim Breaux,SF,160
Tim Duncan*,"C, PF",1495
Tim Frazier,PG,204025
Tim Hardaway Jr.,SG,203501
Tim Hardaway*,PG,896
Tim James,SF,1906
Tim Kempton,PF,1118
Tim Legler,SG,100
Tim Ohlbrecht,C,203317
Tim Quarterman,SG,1627817
Tim Thomas,"PF, PF-SF, SF",1501
Tim Young,C,1937
Timofey Mozgov,C,202389
Timothé Luwawu-Cabarrot,SF,1627789
Tito Maddox,SG,2432
Tobias Harris,"PF, SF, SF-PF",202699
Toby Bailey,SG,1753
Todd Day,SG,103
Todd Fuller,C,957
Todd MacCulloch,C,1928
Tom Chambers,PF,1472
Tom Gugliotta,"PF, SF",339
Tom Hammonds,PF,67
Tomáš Satoranský,"PG, SG",203107
Toney Douglas,"PG, SG",201962
Toni Kukoč*,"PF, SF",389
Tony Allen,"PG, SF, SG",2754
Tony Battie,"C, PF",1499
Tony Bobbitt,SG,2800
Tony Bradley,C,1628396
Tony Delk,"PG, PG-SG, SG",960
Tony Dumas,SG,434
Tony Farmer,"C, PF",1108
Tony Massenburg,"C, PF",763
Tony Mitchell,"PF, SF",203183
Tony Parker,PG,2225
Tony Smith,"PG, SG",380
Tony Snell,"SF, SG",203503
Tony Wroten,"PG, SG",203100
Tornike Shengelia,SF,203129
Torraye Braggs,PF,1765
Torrey Craig,SF,1628470
Toure' Murry,"PG, SG, SG-PG",203315
Tracy McGrady*,"SF, SG",1503
Tracy Murray,SF,145
Trae Young,PG,1629027
Trajan Langdon,SG,1892
Travis Best,PG,696
Travis Diener,PG,101143
Travis Hansen,SF,2580
Travis Knight,C,969
Travis Leslie,SG,202727
Travis Outlaw,"PF, SF",2566
Travis Wear,SF,204037
Travis Williams,SF,1576
Trayvon Palmer,SG,-1
Tre Jones,PG,-1
Tre Mann,PG,-1
Tre Scott,SF,-1
Tremaine Fowlkes,SF,1762
Tremont Waters,PG,1629682
Trendon Watford,SF,-1
Trent Forrest,PG,-1
Trenton Hassell,"SF, SG",2239
Trevelin Queen,SG,-1
Treveon Graham,"SF, SG",1626203
Trevon Duval,PG,1628979
Trevor Ariza,"SF, SG",2772
Trevor Booker,PF,202344
Trevor Winter,C,1868
Trey Burke,PG,203504
Trey Gilder,SF,201821
Trey Johnson,SG,201234
Trey Lyles,PF,1626168
Trey McKinney-Jones,SG,203590
Trey Murphy III,SF,-1
Trey Thompkins,C,202717
Tristan Thompson,"C, PF",202684
Troy Bell,PG,2559
Troy Brown Jr.,SF,1628972
Troy Caupain,PG,1628505
Troy Daniels,SG,203584
Troy Hudson,PG,1607
Troy Murphy,PF,2211
Troy Williams,SF,1627786
Ty Jerome,SG,1629660
Ty Lawson,PG,201951
Ty-Shon Alexander,SG,-1
Tyler Bey,SF,-1
Tyler Cavanaugh,PF,1628463
Tyler Cook,"PF, PF-SF, SF, SF-PF",1629076
Tyler Davis,C,1629093
Tyler Dorsey,SG,1628416
Tyler Ennis,PG,203898
Tyler Hall,SG,-1
Tyler Hansbrough,PF,201946
Tyler Herro,SG,1629639
Tyler Honeycutt,SF,202715
Tyler Johnson,"PG, PG-SG, SG",204020
Tyler Lydon,PF,1628399
Tyler Ulis,PG,1627755
Tyler Zeller,C,203092
Tyreke Evans,"PG, SF, SG",201936
Tyrell Terry,PG,-1
Tyrese Haliburton,"PG, SG, SG-PG",-1
Tyrese Maxey,"PG, SG",-1
Tyrone Corbin,SF,895
Tyrone Hill,PF,238
Tyrone Nesby,"SF, SF-SG, SG",1838
Tyrone Wallace,"PG, SG",1627820
Tyronn Lue,PG,1731
Tyrus Thomas,"C, PF, PF-C",200748
Tyshawn Taylor,PG,203116
Tyson Chandler,"C, PF",2199
Tyson Wheeler,PG,1755
Tyus Edney,PG,721
Tyus Jones,PG,1626145
Udoka Azubuike,C,-1
Udonis Haslem,"C, PF",2617
Uroš Slokar,C,101166
Usman Garuba,PF,-1
Vander Blue,SG,203505
Vassilis Spanoulis,SG,2779
Vernon Carey Jr.,C,-1
Vernon Macklin,C,202731
Vernon Maxwell,"PG, SG",137
Viacheslav Kravtsov,C,203139
Vic Law,PF,1629724
Victor Alexander,C,2349
Victor Claver,SF,201964
Victor Oladipo,"PG, SG",203506
Viktor Khryapa,"PF, SF",2751
Vin Baker,"C, PF, PF-C",452
Vince Carter,"PF, SF, SF-SG, SG",1713
Vince Edwards,SF,-1
Vince Hunter,PF,-1
Vincent Poirier,C,1629738
Vincent Yarbrough,SG,2428
Vinny Del Negro,"PG, SG",219
Vit Krejci,SG,-1
Vitaly Potapenko,C,958
Vlade Divac*,C,124
Vladimir Radmanović,"PF, SF",2209
Vladimir Stepania,C,1735
Vlatko Čančar,PF,1628427
Von Wafer,"SF, SG",101144
Vonteego Cummings,PG,1907
Voshon Lenard,SG,702
Vítor Luiz Faverani,C,-1
Wade Baldwin,PG,-1
Walker Russell,PG,78048
Wally Szczerbiak,SF,1887
Walt Lemon Jr.,PG,-1
Walt Williams,SF,1005
Walter Herrmann,"PF, SF",200835
Walter McCarty,"PF, SF",962
Walter Sharpe,PF,201594
Wang Zhizhi,C,-1
Wayne Ellington,SG,201961
Wayne Selden,SG,1627782
Wayne Simien,PF,101134
Wayne Turner,PG,1943
Wendell Carter Jr.,C,1628976
Wenyen Gabriel,PF,1629117
Wes Iwundu,SF,1628411
Wesley Johnson,"SF, SG",202325
Wesley Matthews,"SF, SF-SG, SG",202083
Wesley Person,"SF, SG",445
Will Barton,"SF, SG",203115
Will Blalock,PG,200807
Will Bynum,"PG, SG",101198
Will Cherry,PG,203805
Will Conroy,"PG, PG-SG, SG",101215
Will Magnay,C,-1
Will Perdue,C,781
Will Solomon,"PG, SG",2226
William Avery,PG,1895
William Cunningham,C,1061
William Howard,PF,1629739
Willie Burton,SF,416
Willie Cauley-Stein,C,1626161
Willie Green,SG,2584
Willie Reed,C,203186
Willie Warren,PG,202378
Willy Hernangómez,C,1626195
Wilson Chandler,"PF, PF-SF, SF, SG",201163
Xavier Henry,"SF, SG",202333
Xavier McDaniel,SF,1365
Xavier Moon,SG,-1
Xavier Munford,SG,204098
Xavier Rathan-Mayes,SG,1628504
Xavier Silas,SG,202918
Xavier Sneed,SF,-1
Xavier Tillman Sr.,PF,-1
Yakhouba Diawara,"SF, SG",200821
Yante Maten,PF,1628999
Yao Ming*,C,2397
Yaroslav Korolev,SF,101117
Yi Jianlian,PF,201146
Yinka Dare,C,212
Yogi Ferrell,"PG, SG",1627812
Yuta Tabuse,PG,2657
Yuta Watanabe,SF,1629139
Yves Pons,SF,-1
Zabian Dowdell,PG,202220
Zach Collins,"C, PF",1628380
Zach LaVine,"PG, SF, SG",203897
Zach Lofton,SG,1629155
Zach Norvell,SG,-1
Zach Randolph,"C, PF, PF-C",2216
Zavier Simpson,PG,-1
Zaza Pachulia,C,2585
Zeke Nnaji,PF,-1
Zendon Hamilton,"C, PF",1985
Zhaire Smith,"SF, SG",1629015
Zhou Qi,"C, PF",1627753
Ziaire Williams,SF,-1
Zion Williamson,PF,1629627
Zoran Dragić,SG,204054
Zoran Planinić,"PG, SG",2565
Zydrunas Ilgauskas,C,980
Zylan Cheatham,"PF, SF",1629597
Álex Abrines,SG,203518
Ángel Delgado,C,1629116
Óscar Torres,SG,2351
Ömer Aşık,C,-1
Šarūnas Jasikevičius,"PG, SG, SG-PG",101180
Žan Tabak,C,440
Žarko Čabarkapa,PF,2560
Željko Rebrača,C,1442
